OutletId,Outlet,ProductId,Name,UnitOfMeasureId,UOM,Barcode,OpeningQuantity,DeliveryQuantity,SoldQuantity
1,LYD NISA,20508,Crystal 600 Pro Kit Strawb Burst,1,Each,6942417228933,0,0,10
1,LYD NISA,9841,CRYSTAL AMARE PINK LEMON *,1,Each,6970925912327,3,0,0
1,LYD NISA,26876,CRYSTAL CL6000 BLU RAZ LEMON KIT,1,Each,6942417220425,2,0,2
1,LYD NISA,7272,Crystal CL6000 Blue Sour Ras Pod,1,Each,6942417220630,3,0,8
1,LYD NISA,15793,CRYSTAL CL6000 CHERRY ICE KIT,1,Each,6942417220456,4,0,4
1,LYD NISA,4300,Crystal CL6000 Cherry Ice Pod,1,Each,6942417220654,10,0,3
1,LYD NISA,2572,CRYSTAL CL6000 LEMON LIME KIT,1,Each,6942417220449,6,0,3
1,LYD NISA,5788,Crystal CL6000 Lemon Lime Pod,1,Each,6942417220647,4,0,1
1,LYD NISA,10233,DEEPFRZ PN RELIEF COLD SPRAY,1,Each,5011501016167,2,0,2
1,LYD NISA,2046,DELI BURGER BUNS,1,Each,5021684035046,14,0,58
1,LYD NISA,17863,DELI RUSTIC LOAF,1,Each,5021684036067,17,0,67
1,LYD NISA,8537,DELMONTE PINE CHUNKS JUICE,1,Each,024000001683,6,0,3
1,LYD NISA,1487,DELMONTE SLCD MANGO L/SYRUP,1,Each,024000195252,8,0,4
1,LYD NISA,14530,Dewkes Beef Top Up Box,1,Each,5065015023234,16,0,8
1,LYD NISA,8958,Dewkes Chicken Top Up Box,1,Each,5065015023227,15,0,9
1,LYD NISA,3648,Dewkes Classic Treat Box,1,Each,5065015023272,4,0,1
1,LYD NISA,9572,Dewkes Fish Top Up Box,1,Each,5065015023210,20,0,3
1,LYD NISA,16465,Dewkes Poo Bags Top Up Box,1,Each,5065015023265,0,0,7
1,LYD NISA,14978,Dewkes Pork Top Up Box,1,Each,5065015023241,19,0,9
1,LYD NISA,17609,Dexterity Games Assorted * 48,1,Each,5014631019565,43,0,0
1,LYD NISA,10329,Diner Mugs - Carpenter,1,Each,886767062235,0,0,1
1,LYD NISA,15775,DINO SKELETON KIT,1,Each,5025509174255,0,0,7
1,LYD NISA,26351,Dinosaur Fossil Crystal,1,Each,5025509172428,0,0,9
1,LYD NISA,4259,Dinosaur Monster Truck,1,Each,5025509172640,0,0,9
1,LYD NISA,5173,DINOSAUR QUAD BIKE,1,Each,5025509174033,0,0,11
1,LYD NISA,27611,DIPPED VIENNESE X4,1,Each,5033145009596,3,0,3
1,LYD NISA,17213,Dog Tuggers Asst,1,Each,5055180676960,1,0,0
1,LYD NISA,5899,DOLMIO ORIG BOLOG SCE,1,Each,4002359634420,8,0,1
1,LYD NISA,1498,Dotty Leopard SqhyBeanie Clip,1,Each,8421395682,3,0,0
1,LYD NISA,26049,DOUBLE BLADED SABRE STAFF,1,Each,5025509172091,0,0,1
1,LYD NISA,22255,Double Duo Dunker,1,Each,5031396019364,10,0,12
1,LYD NISA,14841,DOVE BODY DEEP NOURISHING,1,Each,8712561790017,22,0,6
1,LYD NISA,13019,DRAUGHTS GAME,1,Each,5012128557613,0,0,1
1,LYD NISA,1337,DURACELL PLUS D,1,Each,5000394019171,2,0,0
1,LYD NISA,14739,DUREX THIN FEELS 6PK,2151,6X6PK,"5052197030044,5052197025989",1,0,0
1,LYD NISA,2480,E&J DST BRANDY 40%,1,Each,"085000003763,0085000003763",4,0,0
1,LYD NISA,8841,EDGE BRITTOB12MGPM2.50*,1,Each,5060566143455,5,0,0
1,LYD NISA,8752,EDGE CHERMENT 12MGPM2.50*,1,Each,5060566143523,2,0,0
1,LYD NISA,14105,Edge Heizen - 6MG,1,Each,5060657342903,3,0,0
