ProductId,Outlet,CorrectOpeningQuantity,CorrectSoldQuantity,CorrectDeliveryQuantity,IncorrectProductIds
30228,GS NISA,22.0,84.0,0.0,6619
31109,GS NISA,0.0,73.0,0.0,29982
31110,GS NISA,0.0,77.0,0.0,29982
31111,GS NISA,0.0,77.0,0.0,29982
31112,GS NISA,0.0,72.0,0.0,29982
31113,GS NISA,0.0,74.0,0.0,29982
31115,GS NISA,0.0,31.0,0.0,29983
20535,GS NISA,0.0,25.0,0.0,9894
28911,GS NISA,22.0,42.0,0.0,19308
28327,GS NISA,3.0,14.0,0.0,14169
29054,GS NISA,27.0,22.0,0.0,4575
28940,GS NISA,15.0,62.0,0.0,11572
28927,GS NISA,40.0,76.0,0.0,16296
28776,GS NISA,20.0,17.0,0.0,14434
29183,GS NISA,11.0,10.0,0.0,13032
29183,GS NISA,11.0,10.0,0.0,13032
28533,GS NISA,4.0,4.0,0.0,27478
28533,GS NISA,4.0,4.0,0.0,27478
28903,GS NISA,128.0,224.0,0.0,15484
28774,GS NISA,41.0,103.0,0.0,5392
28832,GS NISA,8.0,49.0,0.0,27450
28813,GS NISA,4.0,93.0,0.0,17524
28293,GS NISA,355.0,340.0,0.0,9538
29036,GS NISA,1.0,34.0,0.0,4314
28804,GS NISA,27.0,13.0,0.0,15469
28838,GS NISA,33.0,54.0,0.0,21575
28915,GS NISA,35.0,147.0,0.0,25346
28795,GS NISA,16.0,39.0,0.0,8113
28889,GS NISA,59.0,59.0,0.0,4751
28897,GS NISA,9.0,6.0,0.0,17309
28951,GS NISA,13.0,118.0,0.0,24767
28314,GS NISA,5.0,80.0,0.0,18343
28812,GS NISA,50.0,49.0,0.0,6250
28319,GS NISA,40.0,95.0,0.0,6650
28321,GS NISA,12.0,52.0,0.0,27966
28860,GS NISA,15.0,77.0,0.0,5763
28766,GS NISA,30.0,111.0,0.0,26921
29093,GS NISA,1.0,36.0,0.0,22480
28883,GS NISA,10.0,42.0,0.0,3493
29094,GS NISA,24.0,28.0,0.0,19484
28916,GS NISA,19.0,28.0,0.0,4059
28343,GS NISA,46.0,26.0,0.0,13823
29049,GS NISA,85.0,200.0,0.0,400
29096,GS NISA,43.0,92.0,0.0,12087
28955,GS NISA,10.0,89.0,0.0,21996
28917,GS NISA,4.0,2.0,0.0,22339
28360,GS NISA,23.0,22.0,0.0,4295
28807,GS NISA,33.0,65.0,0.0,12145
28949,GS NISA,21.0,55.0,0.0,13971
28363,GS NISA,6.0,215.0,0.0,5550
28831,GS NISA,5.0,180.0,0.0,18631
30111,GS NISA,0.0,11.0,0.0,30110
28780,GS NISA,68.0,467.0,0.0,12095
28907,GS NISA,5.0,27.0,0.0,4975
30236,GS NISA,72.0,124.0,0.0,17918
28921,GS NISA,11.0,64.0,0.0,4883
28770,GS NISA,22.0,25.0,0.0,2019
28853,GS NISA,17.0,12.0,0.0,10225
28412,GS NISA,18.0,13.0,0.0,16648
29136,GS NISA,20.0,27.0,0.0,4734
29135,GS NISA,11.0,4.0,0.0,21030
29137,GS NISA,5.0,4.0,0.0,19375
29124,GS NISA,13.0,9.0,0.0,7299
28801,GS NISA,3.0,6.0,0.0,13017
29122,GS NISA,8.0,27.0,0.0,20935
28930,GS NISA,53.0,31.0,0.0,20624
28805,GS NISA,14.0,6.0,0.0,12381
28401,GS NISA,5.0,13.0,0.0,14602
29131,GS NISA,8.0,7.0,0.0,16444
28414,GS NISA,38.0,5.0,0.0,953
28879,GS NISA,67.0,18.0,0.0,24601
28794,GS NISA,3.0,13.0,0.0,10940
28875,GS NISA,56.0,42.0,0.0,13322
28936,GS NISA,17.0,5.0,0.0,26394
29140,GS NISA,13.0,34.0,0.0,1262
29141,GS NISA,45.0,46.0,0.0,18086
28430,GS NISA,81.0,91.0,0.0,21784
30256,GS NISA,98.0,5.0,0.0,24571
29278,GS NISA,3.0,12.0,0.0,16718
29279,GS NISA,7.0,12.0,0.0,16718
29280,GS NISA,2.0,15.0,0.0,16718
29281,GS NISA,2.0,6.0,0.0,16718
28704,GS NISA,51.0,48.0,0.0,14054
29612,GS NISA,134.0,203.0,0.0,24591
29614,GS NISA,348.0,389.0,0.0,25283
29611,GS NISA,13.0,2008.0,0.0,5704
29271,GS NISA,25.0,22.0,0.0,29270
16419,GS NISA,2.0,2.0,0.0,955
29275,GS NISA,4.0,7.0,0.0,6103
28306,GS NISA,8.0,3.0,0.0,24101
28156,GS NISA,4.0,1.0,0.0,22577
28298,GS NISA,4.0,3.0,0.0,14697
28665,GS NISA,1.0,1.0,0.0,1327
28300,GS NISA,6.0,6.0,0.0,9868
28148,GS NISA,2.0,2.0,0.0,12875
28160,GS NISA,6.0,5.0,0.0,5574
28320,GS NISA,2.0,2.0,0.0,8484
28354,GS NISA,3.0,2.0,0.0,3231
28161,GS NISA,6.0,9.0,0.0,25991
28144,GS NISA,3.0,2.0,0.0,25156
28142,GS NISA,3.0,1.0,0.0,25462
28143,GS NISA,2.0,3.0,0.0,1576
28309,GS NISA,5.0,12.0,0.0,20597
28169,GS NISA,1.0,1.0,0.0,9236
28683,GS NISA,7.0,3.0,0.0,6656
28315,GS NISA,8.0,3.0,0.0,17914
28151,GS NISA,6.0,4.0,0.0,14331
28177,GS NISA,1.0,3.0,0.0,6257
28162,GS NISA,1.0,2.0,0.0,25361
28346,GS NISA,1.0,1.0,0.0,6704
28175,GS NISA,2.0,1.0,0.0,951
28317,GS NISA,5.0,5.0,0.0,11378
28326,GS NISA,4.0,4.0,0.0,7047
28149,GS NISA,2.0,2.0,0.0,19577
28295,GS NISA,4.0,2.0,0.0,9577
28146,GS NISA,3.0,2.0,0.0,13409
28301,GS NISA,1.0,1.0,0.0,10315
28307,GS NISA,2.0,2.0,0.0,26402
28684,GS NISA,6.0,1.0,0.0,17850
28671,GS NISA,1.0,1.0,0.0,3403
28344,GS NISA,6.0,2.0,0.0,3484
28155,GS NISA,2.0,2.0,0.0,2901
28276,GS NISA,4.0,4.0,0.0,24185
28278,GS NISA,8.0,6.0,0.0,18863
28279,GS NISA,4.0,4.0,0.0,11989
28280,GS NISA,4.0,3.0,0.0,20204
28277,GS NISA,4.0,4.0,0.0,6508
28294,GS NISA,4.0,4.0,0.0,23528
28288,GS NISA,4.0,4.0,0.0,26881
28290,GS NISA,4.0,4.0,0.0,12876
28292,GS NISA,4.0,4.0,0.0,17511
28302,GS NISA,4.0,2.0,0.0,1371
28308,GS NISA,5.0,2.0,0.0,15438
28157,GS NISA,2.0,2.0,0.0,6448
28681,GS NISA,4.0,3.0,0.0,1699
28296,GS NISA,4.0,2.0,0.0,746
28147,GS NISA,3.0,4.0,0.0,10588
28764,GS NISA,7.0,5.0,0.0,14911
28760,GS NISA,23.0,3.0,0.0,9191
28765,GS NISA,20.0,10.0,0.0,24705
28845,GS NISA,15.0,13.0,0.0,12510
28871,GS NISA,15.0,5.0,0.0,9954
29110,GS NISA,16.0,11.0,0.0,2130
29105,GS NISA,28.0,27.0,0.0,12390
28870,GS NISA,17.0,6.0,0.0,5112
28865,GS NISA,30.0,16.0,0.0,23385
28655,GS NISA,1.0,2.0,0.0,21688
28654,GS NISA,2.0,1.0,0.0,15718
28658,GS NISA,2.0,1.0,0.0,21555
28330,GS NISA,1.0,1.0,0.0,24486
28339,GS NISA,2.0,1.0,0.0,18436
28411,GS NISA,1.0,4.0,0.0,8260
28335,GS NISA,3.0,1.0,0.0,5063
28331,GS NISA,1.0,1.0,0.0,8406
28332,GS NISA,2.0,2.0,0.0,2081
